Collection Expenditure ID	Print Collection Expenditures	Digital Collection Expenditures	Other Collection Expenditures
1	3021	0	1009
2	700747	198422	253111
3	2206	425	877
4	8295	1635	4871
5	21552	0	0
6	4846	0	637
7	4123	224	1801
8	2164	0	1774
9	4788	0	500
10	9164	1500	352
11	20605	1100	6560
12	100	0	0
13	8157	0	1000
14	8236	0	2806
15	3178	456	3485
16	364265	171313	104340
17	3311	0	199
18	5045	699	599
19	6381	600	0
20	14426	1500	2250
21	6281	1500	467
22	1766	0	1463
23	64200	6409	12142
24	3272	0	0
25	133586	17435	15800
26	3177	0	135
27	60721	6549	4476
28	79595	2349	22537
29	28584	30000	5850
30	14736	0	4358
31	3022	868	0
32	5656	0	432
33	12566	0	2627
34	5900	52	1545
35	4453	0	486
36	17193	0	688
37	2018	0	600
38	39150	0	0
39	1611	0	2662
40	22034	1500	18213
41	1900	0	1175
42	3975	0	0
43	4327	0	1391
44	24680	0	5087
45	72500	4100	15500
46	8376	0	807
47	84439	1600	6075
48	14960	0	0
49	30306	0	0
50	1950	0	1550
51	2694	0	2200
52	3565	0	663
53	21313	3000	2556
54	56809	3479	9205
55	18660	0	0
56	25060	1500	0
57	3849	0	0
58	2728	0	1867
59	2200	500	182
60	2700	0	500
61	38204	16573	9859
62	4238	1615	400
63	3891	2124	181
64	6388	685	1181
65	4750	0	750
66	18050	270	2350
67	1531	98	1938
68	15059	0	0
69	4750	0	750
70	1790	0	3713
71	3529	0	0
72	26157	6529	9336
73	802	266	2563
74	2072	372	1480
75	4750	0	750
76	2047	0	304
77	763	0	0
78	2162	0	1170
79	3584	0	0
80	2904	769	0
81	2598	0	300
82	2637	0	2159
83	26729	0	0
84	2000	0	0
85	4409	699	1066
86	14512	6000	0
87	4620	4375	0
88	4576	4375	0
89	5584	4375	0
90	25392	0	2426
91	4673	4375	0
92	7574	1200	3366
93	9357	0	0
94	7598	1500	94
95	23224	13776	1945
96	14336	0	8325
97	21628	1500	1850
98	8560	0	0
99	3742	0	600
100	1603	0	317
101	29394	0	5941
102	25041	0	223
103	7375	0	1481
104	-3	-3	-3
105	15143	1000	6253
106	28558	0	9174
107	21912	3000	2605
108	1840	0	400
109	1164	0	128
110	1615	0	0
111	1815	0	0
112	10075	0	1267
113	56335	3904	16794
114	9446	0	200
115	12089	0	1500
116	2927	0	1000
117	17722	5500	275
118	10783	724	0
119	15199	8005	2871
120	8703	0	2430
121	12047	3005	3617
122	9079	3599	7295
123	13832	889	1584
124	5300	0	346
125	2000	0	400
126	15231	0	709
127	15931	7445	3902
128	6392	1500	2476
129	3948	0	580
130	88174	35663	7860
131	62680	8541	16570
132	9304	4612	5814
133	2880	0	0
134	6346	1500	0
135	13646	2000	6500
136	64751	29674	20387
137	19750	2200	3050
138	1260	0	452
139	69977	22159	29864
140	12174	0	7770
141	47962	10971	13547
142	48699	0	0
143	3000	0	0
144	2450	0	7950
145	8750	0	0
146	1975	0	0
147	10032	0	3647
148	5153	0	0
149	1525	0	0
150	740	0	0
151	14000	0	0
152	23173	10000	4000
153	63645	19650	23861
154	8000	3000	0
155	15093	3000	743
156	3354	0	0
157	56921	8706	37673
158	56248	8722	37541
159	62362	22211	24000
160	40256	3265	6213
161	3000	450	1250
162	400	0	300
163	31517	0	8515
164	17660	13473	22065
165	3279	0	1150
166	30246	1586	26051
167	192272	29983	117286
168	4880	0	8855
169	20584	0	1707
170	18806	481	15003
171	5775	0	828
172	127466	70394	66248
173	333441	168640	170296
174	8588	776	790
175	37449	10000	14539
176	13830	0	6362
177	7112	0	1787
178	10873	0	4716
179	7094	0	2098
180	107403	0	45737
181	106968	14505	58527
182	7809	0	2748
183	526132	16903	353424
184	23917	6600	8441
185	1898	162	57
186	4205	112	688
187	15565	189	2133
188	2454	1000	0
189	25267	0	6716
190	38886	0	18702
191	15757	0	1878
192	65204	6959	4842
193	4153	0	2577
194	43827	10331	8227
195	29281	2435	3770
196	9083	0	691
197	20949	0	0
198	20838	3000	7969
199	23000	3000	1129
200	27521	2159	9453
201	24808	3995	24201
202	15855	38647	14592
203	80155	5100	26746
204	20000	0	8000
205	21220	500	16461
206	10595	250	12448
207	2995	0	821
208	7754	250	5647
209	43893	6397	17575
210	3480	50	1841
211	24397	7712	11453
212	2629	0	0
213	7979	0	4132
214	6036	0	40
215	1997	0	0
216	19143	3000	7636
217	7047	0	2427
218	11540	5408	6808
219	5896	3000	10689
220	23975	9480	5521
221	4994	0	0
222	17457	5704	4285
223	38178	4000	24703
224	49848	3000	38875
225	8754	1500	15905
226	285	0	0
227	110680	26239	20732
228	11020	0	0
229	1500	150	440
230	3540	0	0
231	15423	0	4900
232	12624	0	35
233	9685	0	1143
234	2628	4508	1317
235	330552	184946	253208
236	6720	0	0
237	11833	3000	5053
238	3559	3015	0
239	3863	0	886
240	13962	0	294
241	1444	0	0
242	3856	0	0
243	6204	0	0
244	15627	0	9262
245	20325	19233	9441
246	19711	11338	1351
247	10700	0	6950
248	3500	0	700
249	3620	0	60
250	845	0	7733
251	6968	7203	4465
252	9120	0	5414
253	703985	141000	395806
254	542279	51712	0
255	431	230	0
256	5964	0	600
257	14031	0	0
258	15091	0	3279
259	54701	7950	14059
260	14687	3000	4243
261	20166	0	9834
262	27500	3000	9662
