State Code,County Code,County Population,County
1,1,55395,AUTAUGA
1,3,200111,BALDWIN
1,5,26887,BARBOUR
1,7,22506,BIBB
1,9,57719,BLOUNT
1,11,10764,BULLOCK
1,13,20296,BUTLER
1,15,115916,CALHOUN
1,17,34076,CHAMBERS
1,19,26037,CHEROKEE
1,21,43931,CHILTON
1,23,13323,CHOCTAW
1,25,24945,CLARKE
1,27,13552,CLAY
1,29,15080,CLEBURNE
1,31,50909,COFFEE
1,33,54543,COLBERT
1,35,12670,CONECUH
1,37,10886,COOSA
1,39,37914,COVINGTON
1,41,13977,CRENSHAW
1,43,81289,CULLMAN
1,45,49484,DALE
1,47,41711,DALLAS
1,49,71065,DEKALB
1,51,80977,ELMORE
1,53,37733,ESCAMBIA
1,55,103531,ETOWAH
1,57,16874,FAYETTE
1,59,31601,FRANKLIN
1,61,26712,GENEVA
1,63,8553,GREENE
1,65,15184,HALE
1,67,17190,HENRY
1,69,104193,HOUSTON
1,71,52665,JACKSON
1,73,660793,JEFFERSON
1,75,14086,LAMAR
1,77,93096,LAUDERDALE
1,79,33477,LAWRENCE
1,81,154255,LEE
1,83,90787,LIMESTONE
1,85,10580,LOWNDES
1,87,19425,MACON
1,89,350299,MADISON
1,91,20110,MARENGO
1,93,30271,MARION
1,95,94636,MARSHALL
1,97,415123,MOBILE
1,99,21947,MONROE
1,101,226189,MONTGOMERY
1,103,119607,MORGAN
1,105,9826,PERRY
1,107,20365,PICKENS
1,109,33389,PIKE
1,111,22539,RANDOLPH
1,113,59608,RUSSELL
1,115,86697,ST. CLAIR
1,117,206655,SHELBY
1,119,13166,SUMTER
1,121,81322,TALLADEGA
1,123,41165,TALLAPOOSA
1,125,202212,TUSCALOOSA
1,127,65471,WALKER
1,129,16834,WASHINGTON
1,131,11098,WILCOX
1,133,24150,WINSTON
2,13,3360,ALEUTIANS EAST
2,16,5750,ALEUTIANS WEST
2,20,301010,ANCHORAGE
2,50,17868,BETHEL
2,60,957,BRISTOL BAY
2,68,1921,DENALI
2,70,4988,DILLINGHAM
2,90,99357,FAIRBANKS NORTH STAR
2,100,2566,HAINES
2,105,2082,SKAGWAY-ANGOON
2,110,32406,JUNEAU
2,122,57477,KENAI PENINSULA
