Databases Count ID	Local Cooperative Agreements	State Licensed Databases
1	0	49
2	14	49
3	0	49
4	138	49
5	1	49
6	1	49
7	0	49
8	0	49
9	0	49
10	1	49
11	0	49
12	0	0
13	1	49
14	1	49
15	2	49
16	34	49
17	0	49
18	1	49
19	0	49
20	0	49
21	0	49
22	0	49
23	6	49
24	0	49
25	11	49
26	0	49
27	1	49
28	4	49
29	0	49
30	210	49
31	1	49
32	0	49
33	0	49
34	0	49
35	0	49
36	0	49
37	0	49
38	0	49
39	0	49
40	0	49
41	0	49
42	2	49
43	0	49
44	5	49
45	2	49
46	0	49
47	0	49
48	1	49
49	1	49
50	0	49
51	0	49
52	0	49
53	239	49
54	2	49
55	1	49
56	2	49
57	0	49
58	0	49
59	0	49
60	0	49
61	10	49
62	0	49
63	1	49
64	0	49
65	0	49
66	0	49
67	0	49
68	1	49
69	0	49
70	0	49
71	0	49
72	0	49
73	0	49
74	0	49
75	0	49
76	0	49
77	0	49
78	0	49
79	1	49
80	0	49
81	0	49
82	0	49
83	0	49
84	0	49
85	0	49
86	0	57
87	0	57
88	0	57
89	0	57
90	0	57
91	0	57
92	1	57
93	0	57
94	0	57
95	2	57
96	0	57
97	1	57
98	0	57
99	1	57
100	0	57
101	0	57
102	1	57
103	0	57
104	-3	-3
105	0	57
106	0	57
107	0	57
108	0	57
109	0	57
110	0	57
111	0	57
112	0	57
113	2	57
114	0	57
115	1	57
116	0	57
117	0	57
118	2	57
119	2	57
120	0	57
121	0	57
122	0	57
123	0	57
124	0	57
125	0	57
126	0	57
127	2	70
128	0	57
129	0	57
130	5	57
131	5	57
132	0	57
133	0	57
134	0	57
135	2	57
136	5	57
137	1	57
138	0	57
139	3	57
140	2	57
141	10	57
142	0	57
143	0	57
144	0	57
145	0	57
146	0	57
147	0	57
148	0	57
149	0	57
150	0	57
151	0	57
152	2	57
153	1	57
154	1	57
155	1	57
156	0	57
157	8	57
158	5	57
159	6	57
160	4	57
161	0	57
162	0	57
163	0	57
164	9	57
165	2	57
166	1	57
167	8	57
168	2	57
169	2	57
170	2	57
171	2	57
172	6	57
173	9	57
174	2	57
175	2	57
176	1	57
177	2	57
178	2	57
179	2	57
180	5	57
181	4	57
182	1	57
183	35	57
184	3	57
185	0	57
186	0	57
187	1	57
188	0	57
189	2	57
190	5	57
191	1	57
192	6	57
193	0	57
194	3	57
195	2	57
196	0	57
197	0	57
198	0	57
199	2	57
200	8	57
201	1	57
202	8	57
203	8	57
204	7	57
205	7	57
206	7	57
207	7	57
208	7	57
209	2	57
210	7	57
211	2	57
212	0	57
213	0	57
214	0	57
215	0	57
216	0	57
217	0	57
218	4	57
219	1	57
220	3	57
221	0	57
222	0	57
223	1	57
224	0	57
225	0	57
226	0	57
227	15	57
228	57	57
229	69	57
230	0	57
231	0	57
232	0	57
233	0	57
234	0	57
235	16	57
236	0	57
237	6	57
238	0	57
239	3	57
240	410	57
241	0	57
242	0	57
243	0	57
244	1	57
245	7	57
246	1	57
247	0	57
248	0	57
249	0	57
250	3	57
251	3	57
252	0	57
253	22	57
254	29	57
255	0	57
256	0	57
257	0	57
258	0	57
259	2	57
260	0	57
261	0	57
262	2	57
263	10	70
264	6	57
265	0	57
266	3	57
267	5	57
268	2	57
269	0	57
270	0	57
271	2	57
272	0	57
273	0	57
274	1	57
275	0	57
276	0	57
277	0	57
278	0	57
279	5	57
280	0	57
281	0	57
282	0	57
283	0	57
284	0	57
285	0	57
286	0	57
287	0	57
288	8	57
289	0	57
290	0	57
291	1	57
292	0	57
293	0	57
294	0	57
295	0	57
296	3	57
297	0	57
298	0	57
299	0	57
300	0	57
301	0	57
302	2	57
303	0	57
304	0	57
305	0	57
306	0	57
307	0	57
308	0	57
309	0	57
310	53	52
311	18	52
312	0	52
313	1	52
314	3	52
315	13	52
316	3	52
317	14	52
318	20	52
319	4	52
320	64	52
321	9	52
322	4	52
323	0	52
324	0	52
325	15	52
326	5	52
327	11	52
328	4	52
329	5	52
330	0	52
331	5	52
332	4	52
333	1	52
334	4	52
335	57	52
336	2	52
337	15	52
338	2	52
339	18	52
340	11	52
341	0	52
342	0	52
343	0	52
344	0	52
345	0	52
346	38	52
347	28	52
348	7	52
349	4	52
350	8	52
351	0	52
352	0	52
353	0	52
354	3	52
355	0	52
356	0	52
357	23	52
358	0	52
359	0	52
360	86	52
361	0	52
362	0	52
363	1	52
364	0	52
365	0	52
366	0	52
367	0	52
368	6	27
369	8	27
370	0	27
371	4	27
372	1	27
373	21	27
374	14	27
375	1	27
376	34	27
377	13	27
378	16	27
379	37	27
380	10	27
381	11	27
382	1	27
383	7	27
384	7	27
385	23	27
386	14	27
387	35	27
388	1	27
389	2	27
390	5	27
