Employee Expenditure ID	Salaries	Benefits
1	 	 
2	3214218	2853883
3	 	 
4	167806	72679
5	154145	119727
6	 	 
7	 	 
8	 	 
9	 	 
10	269032	109581
11	 	 
12	 	 
13	97298	46331
14	 	 
15	 	 
16	3017054	1695305
17	 	 
18	 	 
19	 	 
20	239827	115955
21	 	 
22	 	 
23	336999	238922
24	 	 
25	987236	689201
26	 	 
27	382310	166344
28	532257	306783
29	336256	312549
30	123345	43898
31	 	 
32	 	 
33	141927	86878
34	 	 
35	 	 
36	135505	96754
37	 	 
38	263081	176781
39	 	 
40	178923	57004
41	 	 
42	 	 
43	 	 
44	189322	144562
45	333931	220680
46	 	 
47	238708	88731
48	 	 
49	119702	100247
50	 	 
51	 	 
52	 	 
53	194701	138368
54	473136	394893
55	118332	96162
56	126189	98319
57	 	 
58	 	 
59	 	 
60	 	 
61	326565	124643
62	 	 
63	 	 
64	 	 
65	 	 
66	 	 
67	 	 
68	 	 
69	 	 
70	 	 
71	 	 
72	276644	191271
73	 	 
74	 	 
75	 	 
76	 	 
77	 	 
78	 	 
79	 	 
80	 	 
81	 	 
82	 	 
83	 	 
84	 	 
85	 	 
86	106857	22692
87	 	 
88	 	 
89	 	 
90	79082	15820
91	 	 
92	48214	16150
93	55591	17106
94	 	 
95	418552	95688
96	68021	16415
97	70122	21036
98	 	 
99	 	 
100	 	 
101	225000	0
102	196715	43962
103	59208	18795
104	 	 
105	63586	12167
106	75625	19688
107	149287	12367
108	 	 
109	 	 
110	 	 
111	 	 
112	 	 
113	311114	101147
114	46833	0
115	159755	50887
116	 	 
117	 	 
118	49257	21187
119	135688	12004
120	39264	5504
121	 	 
122	70262	15104
123	58000	16000
124	 	 
125	 	 
126	126119	40328
127	286177	106807
128	47583	19800
129	 	 
130	955960	272768
131	406746	117304
132	100312	39677
133	 	 
134	 	 
135	161799	36572
136	533739	134472
137	49209	20230
138	 	 
139	292229	95738
140	58093	7999
141	99791	61657
142	 	 
143	 	 
144	 	 
145	 	 
146	 	 
147	56117	20988
148	 	 
149	 	 
150	 	 
151	59511	16155
152	285118	120786
153	453397	153742
154	68039	20653
155	73019	3400
156	112328	32182
157	429960	181655
158	457069	61124
159	473065	87079
160	171225	66072
161	 	 
162	 	 
163	167607	50280
164	336146	101658
165	 	 
166	364674	67850
167	1420001	329969
168	124480	2583
169	314980	59337
170	391688	111273
171	 	 
172	1326141	337163
173	3488312	903383
174	86843	0
175	197048	52515
176	271334	57393
177	57756	7899
178	64330	43311
179	 	 
180	613802	202403
181	892793	223172
182	 	 
183	9638442	2568337
184	140894	40498
185	 	 
186	 	 
187	94042	51901
188	 	 
189	166936	57972
190	227136	124431
191	67832	23142
192	705629	400391
193	82998	23860
194	176605	74521
195	160612	43048
196	 	 
197	 	 
198	131500	41058
199	132076	46482
200	203281	53108
201	119452	66308
202	216775	61838
203	439309	121234
204	186996	26500
205	105000	27020
206	143327	42921
207	 	 
208	91356	6263
209	668202	192428
210	 	 
211	414226	73839
212	50050	0
213	 	 
214	 	 
215	 	 
216	57915	38377
217	 	 
218	75766	26487
219	 	 
220	194208	70737
221	 	 
222	111982	24096
223	588764	39393
224	290814	50276
225	37250	13766
226	 	 
227	613980	125659
228	74000	19000
229	 	 
230	38551	0
231	124234	24026
232	74484	1371
233	40740	0
234	 	 
235	3134916	546335
236	 	 
237	103644	13914
238	 	 
239	 	 
240	102141	29586
241	19539	0
242	 	 
243	 	 
244	119125	30955
245	175337	54249
246	111854	32333
247	88761	17819
248	 	 
249	 	 
250	130015	5253
251	220664	46962
252	108434	0
253	4277743	1826404
254	2481906	750089
255	 	 
256	 	 
257	37031	2100
258	 	 
259	299426	71860
260	65303	9354
261	192265	66549
262	266699	58718
263	1742325	504102
264	66486	29999
265	84065	17136
266	263947	70729
267	395245	82085
268	 	 
269	 	 
270	 	 
271	 	 
272	200449	60567
273	 	 
274	54218	16193
275	 	 
276	 	 
277	 	 
278	 	 
279	342021	98792
280	73443	17645
281	 	 
282	 	 
283	 	 
284	 	 
285	 	 
286	 	 
287	 	 
288	72323	8916
289	 	 
290	 	 
291	58782	16077
292	84379	9234
293	 	 
294	 	 
295	 	 
296	 	 
297	 	 
298	96306	6362
299	 	 
300	 	 
301	 	 
302	1674484	81032
303	 	 
304	 	 
305	 	 
306	 	 
307	29404	2900
308	 	 
309	 	 
310	8576053	2225999
311	1439937	297244
312	93731	27384
313	54449	8915
314	384644	149577
315	1308446	475532
316	818358	277659
317	667619	171697
318	1329056	472228
319	206510	60347
320	1639456	499513
321	797310	261450
322	504773	327355
323	507959	172891
324	133970	38930
325	1302958	356899
326	800782	337898
327	573529	237070
328	260093	79956
329	718993	225829
330	179951	59332
331	398215	56332
332	187309	58479
333	295688	100809
334	150188	15048
335	311536	136921
336	168618	64630
337	155770	47944
338	97432	41199
339	643079	173365
340	522155	195185
341	645535	150022
342	709729	340405
343	226026	62188
344	 	 
345	114622	6347
346	1189741	486713
347	978590	350826
348	458446	178838
349	471648	188432
350	283537	85082
351	67312	16073
352	146800	55290
353	55083	11460
354	103747	14460
355	101109	16665
356	20836	4354
357	2076211	538472
358	 	 
359	 	 
360	130135	52525
361	 	 
362	109513	38111
363	 	 
364	 	 
365	138233	58956
366	 	 
367	214558	56598
368	691000	345500
369	432373	178477
370	 	 
371	344070	118575
372	95900	35950
373	8118490	2964887
374	633522	144835
375	408516	146561
376	3449624	1485822
377	2338491	706337
378	3206820	1841991
379	14657717	6346418
380	5372117	1763310
381	1757191	764251
382	235099	90699
383	 	 
384	1680942	812296
385	 	 
386	500290	164260
387	14093994	4302891
388	249657	91804
389	 	 
390	956257	272570
391	3133878	1208070
392	 	 
393	303891	33923
394	1689239	663013
395	 	 
396	185786	81263
397	209680	60881
398	162936	41837
399	99700	7270
400	 	 
401	187018	70485
402	138066	34435
403	99264	31221
404	156522	31401
405	77440	8324
406	432501	130505
407	 	 
408	134548	42507
409	699009	232507
410	700224	236390
411	 	 
412	 	 
413	75074	22213
414	111078	25610
415	74000	39400
416	 	 
417	207031	56140
418	80689	6173
419	 	 
420	 	 
421	 	 
422	183047	76142
423	164526	68707
424	227206	82981
425	 	 
426	 	 
427	314630	151450
428	 	 
429	228340	71775
430	191058	51342
431	 	 
432	388457	162827
433	 	 
434	866036	277980
435	685116	182487
436	1071668	372099
437	92567	58559
438	148112	75908
439	241672	91728
440	92500	45600
441	140455	43983
442	 	 
443	280103	114580
444	 	 
445	2088520	679340
446	 	 
447	 	 
448	 	 
449	 	 
450	126274	42828
451	 	 
452	101606	8605
453	92659	7584
454	 	 
455	54520	13575
456	239122	50313
457	8966	2260
458	 	 
459	11062357	5154962
460	1715298	467932
461	1492531	547872
462	125357	76004
463	1369888	492958
464	357364	188149
465	3287884	1921457
466	1529200	660500
467	2096324	1341146
468	606245	240080
469	7746542	4787289
470	4083674	944955
471	312633	101139
472	1007926	384684
473	3343444	1484095
474	2067985	763079
475	1353493	579893
476	259484	65841
477	281145	110878
478	4837074	1473395
479	739829	176348
480	2921640	1541800
481	1898976	849104
482	412229	195359
483	 	 
484	402691	208173
485	2071566	643397
486	10682391	6950801
487	1335646	775371
488	447772	105778
489	1412706	523837
490	 	 
491	392723	154827
492	687096	212577
493	290600	117681
494	1697339	706781
495	1378600	499500
496	1850550	665333
497	1489511	692012
498	9088944	7115924
499	1590296	454946
500	4084293	1389636
501	997883	219047
502	2122938	1108329
503	425600	255100
504	2426837	1008976
505	253401	101530
506	106635	43390
507	1285370	735309
508	288706	121160
509	3720423	2051021
510	747351	249109
511	401735	212702
512	462784	215509
513	148301	65989
514	2042334	1396311
515	740607	332974
516	530214	210080
517	5319382	2650206
518	48992269	27341690
519	62232386	29740945
520	498598	216323
521	6155307	3091487
522	992129	609674
523	1363824	422054
524	998154	692312
525	1115171	391669
526	163700	46838
527	715917	193345
528	838559	307348
529	3031665	1530295
530	1532882	572790
531	1262957	442730
532	2751190	1112523
533	3056296	1469434
534	1576148	251192
535	820874	533447
536	3488763	1571626
537	12700755	6266239
538	1832116	661399
539	2195227	1348952
540	16790322	7678923
541	2136950	820342
542	152244	73840
543	1960687	1021018
544	486000	144017
545	24840	3570
546	962245	706267
547	3282396	1975599
548	4111047	1128479
549	188315	58228
550	4540517	3263144
551	493330	240554
552	1009643	243751
553	188902	112504
554	429736	11917
555	560884	177555
556	1406951	417410
557	3197591	1411246
558	2472916	1169997
559	2927412	1300098
560	1887834	782839
561	16338583	4088099
562	1678894	1057338
563	390917	137941
564	409536	171865
565	5112067	1988995
566	987800	231100
567	770739	293337
568	11910129	9076870
569	17059532	13179672
570	43613446	25223787
571	16504577	8283203
572	 	 
573	1680889	630720
574	2938900	2681517
575	738223	179496
576	8115962	4354040
577	2823508	691084
578	1573584	1035896
579	2225697	633313
580	3072969	1045186
581	3661576	1721358
582	13983925	8277838
583	5690260	2236224
584	678000	604300
585	1334291	522899
586	6628885	2343257
587	353327	68851
588	491437	121436
589	850195	287706
590	452810	258916
591	166065	97636
592	7407148	3607522
593	7741036	3274180
594	885897	248965
595	1765712	1198175
596	4027827	1818123
597	571885	271116
598	3815485	1746750
599	2533486	1993831
600	670283	351022
601	242059	138455
602	3665509	1426032
603	119932	94019
604	1325963	451602
605	439334	173275
606	442666	274896
607	813030	311300
608	3059388	1477545
609	1826522	704399
610	1802200	512045
611	86747	30025
612	389999	277968
613	2301587	1179865
614	1611631	698422
615	183748	44995
616	1350159	495913
617	211654	88003
618	 	 
619	1062687	458996
620	993054	409537
621	1058720	550902
622	226785	71530
623	334495	58756
624	595489	197644
625	3596589	1374327
626	285895	115167
627	704534	385342
628	2229880	778570
629	53346	5847
630	1225764	555282
631	1147655	287024
632	1705285	984684
633	0	0
634	736628	362443
635	638870	233581
636	790919	357824
637	2159910	1314625
638	325553	59413
639	0	0
640	83187	47237
641	20640	8215
642	0	0
643	4422220	1322131
644	 	 
645	112100	37203
