Library ID	Library Name	Street Address	City	Zip Code	Longitude	Latitude	Staff Members Count ID	Operating Revenue ID	Employee Expenditure ID	Collection Expenditure ID	Capital Revenue ID	Databases Count ID	State Code	County Code
AK0001	ANCHOR POINT PUBLIC LIBRARY	72551 MILO FRITZ AVENUE	ANCHOR POINT	99556	-151.8400068	59.7796042	1	1	1	1	1	1	2	122
AK0002	ANCHORAGE PUBLIC LIBRARY	3600 DENALI STREET	ANCHORAGE	99503	-149.876781	61.187677	2	2	2	2	2	2	2	20
AK0003	ANDERSON VILLAGE LIBRARY	101 FIRST STREET	ANDERSON	99744	-149.1786346	64.3435982	3	3	3	3	3	3	2	68
AK0006	KUSKOKWIM CONSORTIUM LIBRARY	420 CHIEF EDDIE HOFFMAN HIGHWAY	BETHEL	99559	-161.8029566	60.7857552	4	4	4	4	4	4	2	50
AK0007	BIG LAKE PUBLIC LIBRARY	3140 SOUTH BIG LAKE ROAD	BIG LAKE	99652	-149.818403	61.546612	5	5	5	5	5	5	2	170
AK0008	CANTWELL COMMUNITY LIBRARY	1 SCHOOL ROAD	CANTWELL	99729	-148.757407	63.461051	6	6	6	6	6	6	2	68
AK0011	CHINIAK PUBLIC LIBRARY	43318 SPRUCE WAY	CHINIAK	99615	-152.2325806	57.6122291	7	7	7	7	7	7	2	150
AK0014	COLD BAY PUBLIC LIBRARY	10 BARANOV ROAD	COLD BAY	99571	-162.7133916	55.206634	8	8	8	8	8	8	2	13
AK0015	COOPER LANDING COMMUNITY LIBRARY	MILE .8 BEAN CREEK ROAD	COOPER LANDING	99572	-150.010519	60.487401	9	9	9	9	9	9	2	122
AK0016	CORDOVA PUBLIC LIBRARY	622 FIRST STREET	CORDOVA	99574	-145.766031	60.5479952	10	10	10	10	10	10	2	261
AK0017	CRAIG PUBLIC LIBRARY	504 THIRD STREET	CRAIG	99921	-133.1514564	55.4761261	11	11	11	11	11	11	2	198
AK0018	IPNATCHIAQ LIBRARY	59 MAIN STREET	DEERING	99736	0	0	12	12	12	12	12	12	2	188
AK0019	DELTA COMMUNITY LIBRARY	2291 DEBORAH STREET	DELTA JUNCTION	99737	-145.7334852	64.0465711	13	13	13	13	13	13	2	240
AK0020	DILLINGHAM PUBLIC LIBRARY	306 D STREET WEST	DILLINGHAM	99576	-158.4667361	59.0402542	14	14	14	14	14	14	2	70
AK0021	EAGLE PUBLIC LIBRARY	4TH & AMUNDSEN	EAGLE	99738	-141.201518	64.786619	15	15	15	15	15	15	2	240
AK0023	FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES	1215 COWLES STREET	FAIRBANKS	99701	-147.738617	64.838318	16	16	16	16	16	16	2	90
AK0025	CHARLES EVANS COMMUNITY/SCHOOL LIBRARY	299 ANTOSKI ROAD	GALENA	99741	-156.8723252	64.7480237	17	17	17	17	17	17	2	290
AK0027	COPPER VALLEY COMMUNITY LIBRARY	MILE 186 GLENN HIGHWAY	GLENNALLEN	99588	-146.050333	62.198412	18	18	18	18	18	18	2	261
AK0028	GUSTAVUS PUBLIC LIBRARY	14 GUSTAVUS ROAD	GUSTAVUS	99826	-135.726709	58.4130833	19	19	19	19	19	19	2	105
AK0029	HAINES BOROUGH PUBLIC LIBRARY	111 THIRD AVENUE SOUTH	HAINES	99827	-135.4480632	59.232844	20	20	20	20	20	20	2	100
AK0030	TRI-VALLEY COMMUNITY LIBRARY	400 SUNTRANA STREET	HEALY	99743	-149.0170333	63.8734912	21	21	21	21	21	21	2	68
AK0031	HOLLIS PUBLIC LIBRARY	NO. 1 HOLLIS CHILKAT ROAD	HOLLIS	99950	-133.075907	55.781881	22	22	22	22	22	22	2	198
AK0032	HOMER PUBLIC LIBRARY	500 HAZEL AVENUE	HOMER	99603	-151.544299	59.640502	23	23	23	23	23	23	2	122
AK0033	HOPE COMMUNITY LIBRARY	18487 A AVENUE	HOPE	99605	-149.445094	60.109417	24	24	24	24	24	24	2	122
AK0035	JUNEAU PUBLIC LIBRARIES	292 MARINE WAY	JUNEAU	99801	-134.4036617	58.2984755	25	25	25	25	25	25	2	110
AK0037	KASILOF PUBLIC LIBRARY	58231 STERLING HIGHWAY	KASILOF	99610	-151.2603381	60.3125872	26	26	26	26	26	26	2	122
AK0038	KENAI COMMUNITY LIBRARY	163 MAIN STREET LOOP	KENAI	99611	-151.2442311	60.5585732	27	27	27	27	27	27	2	122
AK0039	KETCHIKAN PUBLIC LIBRARY	1110 COPPER RIDGE LANE	KETCHIKAN	99901	-131.650729	55.352711	28	28	28	28	28	28	2	130
AK0040	KODIAK PUBLIC LIBRARY	612 EGAN WAY	KODIAK	99615	0	0	29	29	29	29	29	29	2	150
AK0041	CHUKCHI CONSORTIUM LIBRARY	604 THIRD STREET	KOTZEBUE	99752	-162.5928328	66.8970613	30	30	30	30	30	30	2	188
AK0044	MCGRATH COMMUNITY LIBRARY	249 F STREET	MCGRATH	99627	-160.065507	62.909259	31	31	31	31	31	31	2	290
AK0046	CENTENNIAL LIBRARY	4TH & MILTON STREET	METLAKATLA	99926	-131.575207	55.128483	32	32	32	32	32	32	2	198
AK0047	MARTIN MONSEN REGIONAL LIBRARY	101 MAIN STREET	NAKNEK	99633	-156.6675022	58.6820703	33	33	33	33	33	33	2	60
AK0048	NENANA PUBLIC LIBRARY	106 EAST SECOND STREET	NENANA	99760	-149.0928496	64.5624425	34	34	34	34	34	34	2	290
AK0051	NINILCHIK COMMUNITY LIBRARY	15850 STERLING HIGHWAY	NINILCHIK	99639	-151.6922728	60.0277445	35	35	35	35	35	35	2	122
AK0052	KEGOAYAH KOZGA LIBRARY	223 FRONT STREET	NOME	99762	-165.4054974	64.4973222	36	36	36	36	36	36	2	180
AK0053	NORTHWAY COMMUNITY/SCHOOL LIBRARY	496 NORTHWAY ROAD	NORTHWAY	99764	-141.9362156	62.95927	37	37	37	37	37	37	2	240
AK0055	PALMER PUBLIC LIBRARY	655 SOUTH VALLEY WAY	PALMER	99645	-149.113048	61.599967	38	38	38	38	38	38	2	170
AK0056	PELICAN PUBLIC LIBRARY	166 SALMON WAY	PELICAN	99832	-136.2239227	57.9587365	39	39	39	39	39	39	2	105
AK0057	PETERSBURG PUBLIC LIBRARY	14 SOUTH SECOND STREET	PETERSBURG	99833	0	0	40	40	40	40	40	40	2	195
AK0058	JESSIE WAKEFIELD MEMORIAL LIBRARY	207 SPRUCE DRIVE	PORT LIONS	99550	-152.883684	57.86639	41	41	41	41	41	41	2	150
AK0061	ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY	930 TOLSTOI BOULEVARD	ST. PAUL	99660	-170.2800724	57.1209898	42	42	42	42	42	42	2	16
AK0064	SELDOVIA PUBLIC LIBRARY	260 SELDOVIA STREET	SELDOVIA	99663	-151.7145869	59.4386818	43	43	43	43	43	43	2	122
AK0065	SEWARD COMMUNITY LIBRARY MUSEUM	239 6TH AVENUE	SEWARD	99664	0	0	44	44	44	44	44	44	2	122
AK0067	KETTLESON MEMORIAL LIBRARY	320 HARBOR DRIVE	SITKA	99835	-135.3345211	57.0495852	45	45	45	45	45	45	2	220
AK0068	SKAGWAY PUBLIC LIBRARY	769 STATE STREET	SKAGWAY	99840	-135.3080232	59.4606145	46	46	46	46	46	46	2	230
AK0069	JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY	235 NORTH BINKLEY ST.	SOLDOTNA	99669	0	0	47	47	47	47	47	47	2	122
AK0070	SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER	11301 NORTH CHICKALOON WAY	SUTTON	99674	-148.977161	61.705952	48	48	48	48	48	48	2	170
AK0072	TALKEETNA PUBLIC LIBRARY	23151 SOUTH TALKEETNA SPUR ROAD	TALKEETNA	99676	-150.1080973	62.3215917	49	49	49	49	49	49	2	170
AK0073	TANANA COMMUNITY/SCHOOL LIBRARY	89 FRONT STREET	TANANA	99777	-151.957314	65.329839	50	50	50	50	50	50	2	290
AK0074	DERMOTT O'TOOLE MEMORIAL LIBRARY	707 WEST TENAKEE AVENUE	TENAKEE SPRINGS	99841	-135.2169506	57.7800673	51	51	51	51	51	51	2	105
AK0075	TOK COMMUNITY LIBRARY	MILE 1314 ALASKA HIGHWAY	TOK	99780	-142.214893	63.910262	52	52	52	52	52	52	2	240
AK0077	VALDEZ CONSORTIUM LIBRARY	212 FAIRBANKS DRIVE	VALDEZ	99686	-146.353396	61.129882	53	53	53	53	53	53	2	261
AK0078	WASILLA PUBLIC LIBRARY	391 NORTH MAIN STREET	WASILLA	99654	-149.441482	61.583125	54	54	54	54	54	54	2	170
AK0080	WILLOW PUBLIC LIBRARY	23557 WEST WILLOW COMMUNITY CENTER	WILLOW	99688	-150.851603	61.33519	55	55	55	55	55	55	2	170
AK0081	IRENE INGLE PUBLIC LIBRARY	124 SECOND STREET	WRANGELL	99929	-132.386938	56.4730653	56	56	56	56	56	56	2	275
AK0082	AKIAK SCHOOL/COMMUNITY LIBRARY	1 KILBUCK ROAD	AKIAK	99552	-161.228344	60.917795	57	57	57	57	57	57	2	50
AK0085	FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY	MILE 5 EDGERTON HIGHWAY	KENNY LAKE	99573	-144.043021	61.709958	58	58	58	58	58	58	2	261
AK0087	KOYUK PUBLIC LIBRARY	3RD AND BIRCH STREET	KOYUK	99753	-161.141837	64.93803	59	59	59	59	59	59	2	180
AK0091	TULUKSAK SCHOOL/COMMUNITY LIBRARY	1 PHILLIP STREET	TULUKSAK	99679	-160.952397	61.107769	60	60	60	60	60	60	2	50
AK0094	TUZZY CONSORTIUM LIBRARY	5421 NORTH STAR STREET	BARROW	99723	-156.7534146	71.2984603	61	61	61	61	61	61	2	185
AK0095	AKIACHAK SCHOOL/COMMUNITY LIBRARY	1 MAIN STREET	AKIACHAK	99551	-161.825068	59.012567	62	62	62	62	62	62	2	50
AK0097	ESTHER GREENWALD LIBRARY	366 GARTEENI HIGHWAY	HOONAH	99829	-135.4385608	58.1082582	63	63	63	63	63	63	2	105
AK0099	MOOSE PASS PUBLIC LIBRARY	38100 DEPOT ROAD	MOOSE PASS	99631	-149.3684553	60.4873228	64	64	64	64	64	64	2	122
AK0100	TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY	9127 MAIN STREET	NIKOLAI	99691	-154.377316	63.010723	65	65	65	65	65	65	2	290
AK0101	SAND POINT COMMUNITY/SCHOOL LIBRARY	123 RED COVE ROAD	SAND POINT	99661	-160.4813624	55.3533513	66	66	66	66	66	66	2	13
AK0102	EGEGIK VILLAGE LIBRARY	289 AIRPORT ROAD	EGEGIK	99579	-157.345234	58.210776	67	67	67	67	67	67	2	164
AK0103	TRAPPER CREEK PUBLIC LIBRARY	8901 EAST DEVONSHIRE DRIVE	TRAPPER CREEK	99683	-150.246221	62.3072213	68	68	68	68	68	68	2	170
AK0104	HOLY CROSS COMMUNITY/SCHOOL LIBRARY	210 MAIN STREET	HOLY CROSS	99602	-160.023886	62.057258	69	69	69	69	69	69	2	290
AK0113	OUZINKIE TRIBAL MEDIA CENTER	216 THIRD STREET	OUZINKIE	99644	-152.4946421	57.9225351	70	70	70	70	70	70	2	150
AK0114	ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY	NO. 1 ELEMENTARY SCHOOL ROAD	ST. GEORGE	99591	-169.616909	56.581679	71	71	71	71	71	71	2	16
AK0115	UNALASKA PUBLIC LIBRARY	64 ELEANOR DRIVE	UNALASKA	99685	-166.5295673	53.8704886	72	72	72	72	72	72	2	16
