Operating Revenue ID	Local Government Operating Revenue	State Government Operating Revenue	Federal Government Operating Revenue	Other Operating Revenue
1	0	18993	2821	7113
2	10448481	56724	157386	183440
3	1000	6300	0	3429
4	67600	6600	0	184800
5	339574	6600	4979	0
6	4000	6600	7000	2640
7	3000	25020	6560	44065
8	3300	18540	2642	50453
9	0	9787	5856	24156
10	472653	9047	11615	14929
11	132077	9107	14642	39346
12	4836	4800	0	0
13	181404	6600	1000	18024
14	113873	10081	17268	43273
15	2000	12730	16961	59708
16	5701389	19800	165466	104697
17	18914	6600	6000	0
18	0	8626	7280	53766
19	46676	6918	4698	16355
20	371114	16052	44897	52365
21	10279	6600	1000	10958
22	0	8237	11101	28571
23	864070	8600	3500	39692
24	0	14513	0	3102
25	2224292	19800	108700	22438
26	8700	8200	9183	5398
27	831585	6600	9273	33476
28	1371390	6500	14636	168844
29	847134	8500	0	17840
30	129370	13200	8153	135201
31	0	19192	7058	56292
32	59167	6600	3622	0
33	297583	13200	0	1157
34	81632	8208	15275	8795
35	4950	7688	11101	3734
36	276346	17104	13024	42908
37	19850	6600	95	0
38	642969	6600	3000	6199
39	28792	7428	1000	26858
40	367068	6600	27131	11360
41	13382	24720	10721	44815
42	24441	6600	5290	0
43	6333	7484	9334	7397
44	450194	6600	6988	36250
45	873041	8600	6642	1943
46	211141	6600	1000	1376
47	626857	6600	7631	24334
48	307944	7712	923	0
49	289554	6600	2500	0
50	5000	12649	2821	56638
51	10500	8460	10365	24208
52	0	7621	2821	25747
53	445386	6600	2086	26445
54	1019328	6600	7161	38889
55	277720	6600	699	0
56	272350	16524	6000	14844
57	30000	6600	0	0
58	0	6600	0	7441
59	13384	12241	7280	56596
60	7000	6600	0	0
61	545580	185155	89033	339360
62	52410	6600	0	0
63	53313	8426	9821	14570
64	0	8504	10922	7303
65	3000	6600	7933	0
66	47200	7798	2973	11500
67	0	18780	10793	49920
68	153323	6600	0	0
69	3000	19080	8000	49920
70	20370	24840	13244	43680
71	27061	6600	5290	0
72	665584	27374	16086	54173
73	18859	17136	10921	96933
74	0	18696	10101	50374
75	3000	19080	7000	49920
76	3000	25020	7000	85633
77	3000	19080	7000	49920
78	0	18912	842	54641
79	1215	18600	15909	49920
80	2515	10802	10806	28320
81	5907	10334	2821	15575
82	0	18768	2821	50602
83	0	12597	18922	92595
84	5500	6600	7000	3622
85	500	10070	77460	31234
86	99651	86706	0	59934
87	36750	0	7000	2441
88	39119	0	7000	1750
89	81615	0	7000	1750
90	184183	0	10000	600
91	52485	0	7000	1750
92	7650	123918	0	2260
93	102248	5348	0	7184
94	65115	2756	0	6387
95	627183	12249	10000	73970
96	137178	10800	0	23119
97	133544	4861	0	20145
98	138893	5560	0	3000
99	43775	2015	0	2415
100	25000	3111	0	3342
101	450901	20422	0	0
102	384787	14966	1125	12330
103	105239	8297	0	8556
104	-3	-3	-3	-3
105	116550	8297	4000	8391
106	216896	6902	0	7141
107	150750	35679	0	67274
108	7571	3704	0	0
109	4159	2697	0	0
110	34558	2307	0	1991
111	21315	2075	0	1
112	12930	5071	7000	4825
113	565997	24949	0	12489
114	39700	10054	0	8237
115	251921	17587	0	13418
116	26500	3385	0	0
117	78858	9412	5000	3381
118	97121	8117	0	4193
119	135000	39784	0	42911
120	62055	6187	0	5952
121	86522	6348	2000	2677
122	104903	10134	0	15904
123	119400	12659	0	2300
124	23614	5669	0	808
125	5617	5717	0	0
126	47716	182724	0	12960
127	469212	7333	16000	32027
128	85365	1788	0	3393
129	43613	2050	0	6070
130	1604265	27968	9356	2318
131	751222	26709	0	0
132	167604	7221	0	13363
133	47495	2453	0	781
134	88452	2702	0	26582
135	270209	3541	15000	22503
136	910450	63681	0	394953
137	133702	12273	0	0
138	5000	4897	4610	5871
139	570983	17036	2000	29599
140	71651	10060	4000	20728
141	242032	12857	0	1700
142	25386	54830	32450	11770
143	66106	0	1500	0
144	29132	0	7950	0
145	37666	0	7000	0
146	32358	0	1500	0
147	50700	18455	0	2482
148	53328	0	4000	0
149	75632	0	500	0
150	42195	0	0	0
151	84220	0	7000	0
152	290000	84139	35125	120329
153	439200	85826	10000	361996
154	103036	22033	3000	3000
155	72000	30256	9998	22850
156	78561	101668	3751	14702
157	783040	17819	20000	44362
158	670425	15818	2000	75112
159	814760	12362	0	3000
160	288229	7982	7000	11218
161	37521	1616	0	500
162	4200	700	0	750
163	321482	4739	0	0
164	544796	9712	0	15203
165	82629	3016	0	14029
166	788309	18329	0	5000
167	2391297	14092	0	63005
168	195999	7630	0	19863
169	512230	5756	0	16000
170	619157	9302	0	7041
171	80000	1443	0	5033
172	2257568	16967	0	26197
173	6187764	56024	25994	250729
174	125951	10740	0	16917
175	389483	8345	10000	27209
176	437327	7983	0	20365
177	104174	3614	0	16406
178	158677	6966	0	16643
179	164097	4258	0	0
180	1100326	13552	10000	76428
181	1739817	22897	0	123790
182	109042	2160	0	16183
183	14619158	167847	75750	741281
184	207295	68229	0	43044
185	59841	1900	3200	13151
186	32424	705	3800	7044
187	196017	4778	1250	16850
188	25000	20238	3000	3306
189	263251	9705	7023	32994
190	303936	5176	0	65914
191	126522	1381	7000	19957
192	1264008	65498	8000	0
193	135013	5769	0	2524
194	375392	9278	0	0
195	292054	4528	0	15460
196	60522	5623	0	10755
197	16368	44261	0	2000
198	219201	7907	0	12900
199	311948	9267	0	12500
200	328799	6508	5000	28000
201	253329	16782	0	19696
202	325000	44912	20000	5000
203	749638	29748	10000	0
204	332196	11875	0	0
205	231050	4034	9375	15310
206	217563	12625	0	20147
207	43094	1597	0	0
208	166000	6193	3000	23370
209	1023895	20987	20000	19970
210	28362	1625	0	750
211	1081274	40891	16000	0
212	55000	2590	0	18598
213	20229	1473	7000	6791
214	27225	1347	670	4185
215	36332	1997	0	995
216	91798	32848	10000	9526
217	35873	2033	7000	3225
218	124839	17691	322	2459
219	83040	10484	8176	604
220	343046	20796	0	5000
221	27538	3603	0	1989
222	165386	9687	3500	13325
223	682700	73766	10000	192812
224	519825	11931	0	13741
225	79666	4624	7905	4713
226	5740	1891	0	0
227	894069	99255	2000	121386
228	103127	13503	0	7000
229	11800	5198	0	1000
230	42960	18135	0	10174
231	160040	42062	0	27590
232	8583	13086	0	6840
233	101036	3730	0	686
234	42107	6090	0	16058
235	4701476	329321	85000	861488
236	35540	8520	0	6582
237	191407	19493	0	25914
238	11000	7023	3000	35774
239	42450	5781	0	4369
240	173210	9502	3000	13613
241	31039	6257	0	2369
242	22597	3856	0	3308
243	33205	2552	0	746
244	140700	26981	0	56599
245	279000	42004	8180	29655
246	181672	8560	19416	23333
247	170000	19711	0	4475
248	107325	5856	1000	350
249	20640	3516	1500	1500
250	129218	21517	0	9913
251	124914	16423	10000	241724
252	158443	12460	0	20075
253	8085802	431367	0	1101214
254	4385062	220919	135000	265075
255	0	2234	0	0
256	38504	5089	0	1834
257	58495	10063	0	2000
258	23767	5030	7000	42
259	445000	53288	11800	50913
260	29503	16302	0	128564
261	254914	55501	0	62688
262	324784	41145	25810	169080
263	3427888	190631	44556	309668
264	136034	10973	0	2116
265	72107	21696	0	47730
266	421732	77214	4790	32838
267	75114	32697	0	682212
268	54012	4169	0	2025
269	24071	3506	7000	3100
270	13600	5521	0	3650
271	21290	690	0	3377
272	340091	14637	10000	24548
273	28059	876	4000	1103
274	93707	7629	7000	5179
275	23000	1184	0	640
276	37331	928	0	2339
277	41253	1779	0	2156
278	23460	669	0	1387
279	581250	6541	7000	29214
280	124826	5887	0	12041
281	50703	1658	5000	2592
282	76080	4477	7000	4750
283	47958	5443	7000	0
284	28747	1216	0	0
285	4341	0	7000	10963
286	43478	1117	7000	1794
287	20090	1126	15000	0
288	133887	9077	11921	10121
289	8950	3445	0	63
290	24600	2667	0	0
291	104447	890	9880	11812
292	140650	6533	6080	11280
293	7993	2700	0	8720
294	15000	731	7200	10000
295	40408	1227	0	7296
296	19086	8150	6804	1588
297	20025	2019	7000	3100
298	170000	4822	7000	8465
299	22032	4999	0	4551
300	13875	721	2407	21500
301	25018	1042	7000	1769
302	1266706	241713	0	820749
303	27525	9874	0	0
304	30960	10535	0	2101
305	39343	1789	0	0
306	42600	1499	0	0
307	70373	3995	7000	0
308	46871	1673	0	976
309	51900	2339	0	0
310	15468609	589724	0	1034970
311	2823888	232662	0	225239
312	179790	21982	0	0
313	150493	75014	0	6656
314	784900	172356	0	67342
315	2894855	176598	0	126553
316	1771363	292206	0	86858
317	1203431	140296	0	66857
318	3267027	242120	0	99659
319	343705	57872	0	33595
320	2309057	161178	0	162867
321	1668324	209799	0	30831
