Staff Members Count ID	Librarians	Employees
1	0.68	0
2	29.1	49.8
3	0.25	0.25
4	1	2
5	1	2
6	1	0.5
7	0	0.11
8	0	0
9	0.1	0
10	3.75	1
11	1	0.5
12	0.28	0
13	1	1.75
14	1	0.88
15	0.48	0.43
16	11	37.1
17	0.38	0
18	0	0.18
19	1.07	0
20	2.7	2.6
21	0.6	0
22	0	0.18
23	2	6.38
24	0	0
25	4.75	15.81
26	0.29	0.17
27	3	5.1
28	2.96	4.75
29	1	6
30	2.25	1
31	0.64	0
32	1	0
33	1	2.11
34	0.87	0.25
35	0.2	0.15
36	1	2
37	0.25	0
38	1	6.25
39	0.25	0.18
40	1	3.3
41	0.58	0
42	0.35	0.35
43	0	0.18
44	2	2.5
45	3	3.8
46	1	0.8
47	3	2.75
48	1	0.75
49	1.88	0.7
50	0.5	0
51	0.25	0
52	0	0
53	1	2.78
54	3	6.5
55	1.88	0.51
56	1	1.5
57	0.25	0.25
58	0	0
59	0.25	0.19
60	0.25	0
61	2	8
62	0.2	0
63	0.66	0.24
64	0	0.18
65	0.25	0
66	0.38	0
67	0.25	0.24
68	0.75	0.24
69	0.25	0
70	0.85	0
71	0.35	0.35
72	1	4
73	0.5	0
74	0	0.18
75	0.5	0
76	0.25	0
77	0	0.09
78	0	0
79	0.2	0.5
80	0	0.2
81	1	0
82	0	0
83	0.5	0
84	0.3	0
85	1.3	0
86	3.5	0
87	1	0
88	1	0.5
89	2	0
90	4.7	0
91	0.8	0.75
92	1	2
93	1	3
94	1	1
95	3	10.2
96	0.9	1.9
97	2	3
98	2	0
99	1	0
100	0.55	0
101	1	7
102	1	7
103	1	1.65
104	-3	-3
105	1	2
106	4	0
107	2	5
108	1	0
109	0.6	0
110	1	1
111	1	0
112	1	1
113	7	5
114	1	4
115	2	6
116	2	0
117	1	1
118	1	1.5
119	2	3.6
120	1	2
121	1	1
122	2	2
123	3	1
124	0.1	0.1
125	1	0
126	1.8	1.8
127	1	9.8
128	1	1.5
129	0.6	0.4
130	10	10
131	4	8
132	3	0
133	1	0
134	2	0
135	1.5	3.5
136	15.5	5.5
137	3	1
138	1	0
139	1	10
140	1	1.5
141	4	2
142	0.5	1.4
143	1	0.5
144	1	0
145	1.5	0
146	1	0
147	2.2	0
148	1	0.5
149	1	0.5
150	0.63	0
151	1	2
152	7	4.05
153	15.48	3.88
154	1	2
155	1	2
156	2	5
157	6	7.3
158	5	9.39
159	1	14
160	7	0
161	1	1
162	1	0
163	1	3
164	7	3
165	1	1
166	5	11
167	10	20
168	5	2
169	1	8
170	8	3.5
171	1	0.5
172	28.93	5.96
173	32.56	38.38
174	1	4.5
175	2	3.49
176	5	2.1
177	1	1.43
178	2	0.5
179	1	1
180	5	10
181	6	16
182	2	0
183	72.5	229
184	3.8	0
185	1	1
186	2	0
187	4	0
188	1.5	0
189	5	0.3
190	1	11
191	2	1.2
192	4	32
193	1	2
194	1.6	5.2
195	5	2
196	1	1
197	1	1
198	1	6
199	1	5.25
200	3	8
201	1	6
202	5.25	2.58
203	5	4.75
204	4	2
205	1	5
206	1	3
207	1	0
208	8	0
209	11	3.5
210	1	0
211	9	6
212	1	2
213	0.75	0.07
214	0.78	0
215	1	0
216	1	1.8
217	0.75	0
218	3	0
219	2	0
220	4	3
221	1	0
222	2	1.5
223	9	10.5
224	7.33	1.45
225	1	2
226	0.68	0
227	11.5	7
228	1	2
229	2	0
230	1	2
231	1	5
232	1.75	1.92
233	4	0
234	1	0.6
235	34.1	73.55
236	1	1
237	3	0.4
238	1.4	0
239	1	1
240	1	3
241	2	2
242	1	0
243	1	0.5
244	1	5
245	5	2
246	4.4	0
247	1	3
248	1	1
249	1	1
250	5	6
251	1	7
252	1	5
253	29	105
254	27	36
255	2	0
256	1	0.5
257	2	1
258	1	1
259	5	12
260	1	1.73
261	1	7.5
262	4	14
263	15	45
264	2	1.5
265	2	0.37
266	3	10.53
267	2	10.25
268	0.75	0.84
269	0.65	0
270	1	0
271	0.8	0.5
272	6	4
273	1.05	0
274	1	1.45
275	0	0
276	1	0
277	1	0.25
278	1	0
279	7	0.5
280	2	2
281	1	1
282	0.9	0.25
283	0.98	0
284	1	0
285	0.4	0
286	0.75	0.3
287	1	0
288	1	1.73
289	0	1
290	1	0
291	1	1.5
292	2	0.5
293	0.4	0
294	1	0
295	1	0.8
296	2	0
297	0.75	0
298	2	1.3
299	0.6	0
300	1	0
301	1	1
302	5	2.43
303	2	0
304	0.75	0
305	1	1
306	1	0
307	1	2
308	1	1
309	1	1
310	46	199
311	12	19.9
312	3	2
313	4	1
314	6	5
315	5	35
316	1.91	25.46
317	7	10
318	13	34
319	3	4
320	8	26.5
321	7	23
322	5	16
323	1	8
324	5	4
325	5	33
326	16	12
327	11	6
328	2	7
329	11	17
330	1	4
331	3	6
332	1	4
333	2	7
334	1	2
335	3	7
336	4	2
337	1	3
338	1	2
339	5	30
340	5	14
341	5	16
342	8	17
343	2	6
344	1	0
345	2	5
346	10	23
347	11.6	28.4
348	6	12
349	4	16
350	1	9
351	1	2.5
352	1	3
353	2	3
354	2	8
355	1	2
356	1	2
357	9	30.84
358	0.89	0.48
359	1	1
360	1	5
361	1	0
362	1	2
363	1	1
364	1	0
365	1	2
366	0	1.01
367	12	2
368	9.2	13.92
369	3	5
370	1	0.7
371	1	7.85
372	0	2.5
373	61	151
374	4	12.83
375	2	7.75
376	25	53.74
377	16.5	34.75
378	25	53.7
379	70.7	311.23
380	35	83.3
381	13	22.5
382	1	3
383	0	1.5
384	10	69.35
385	0.8	1.18
386	4	7
387	104	271
388	1	6.5
389	0.8	1.1
390	13.93	6.13
391	20	75.58
392	0.63	0.13
393	1.5	6
394	12.5	23.19
395	0	2
396	0	7
397	2	1.97
398	1	3
399	0	3.4
400	1	0.38
401	1	3.23
402	1	4
403	1	2
404	2.75	5
405	1	1.89
406	3	10.25
407	1	1
408	1	3
409	4	20.25
410	6	12.59
411	1	1
412	0	1
413	1.19	1.3
414	1	3.54
415	1	1.5
416	1	0.5
417	3	3.5
418	1	1.5
419	1	0
420	0.8	0.6
421	1	0.5
422	1	4.45
423	2	2.48
424	3	3.25
425	0.9	0.8
426	0	1
427	2	6.5
428	0	1.25
429	5	2
430	3	5
431	0.61	0.62
432	2	11
433	1	0.5
434	6.75	12.43
435	9	5.75
436	10	15
437	1	1.45
438	2	3
439	0	6.03
440	1	1.5
441	1	3
442	1	0.7
443	2	6.5
444	1	0.5
445	11	39.15
446	-3	-3
447	0.56	0.27
448	1	0
449	1	1
450	0	2.36
451	1	0.5
452	0	2.5
453	0	2.45
454	0.18	0.09
455	0	4
456	1	6
457	0.94	1.92
458	0	2
459	41	181.54
460	11	20.75
461	10.5	20.4
462	1	1.62
463	9.35	17.85
464	1	6.5
465	20.38	58.36
466	11.5	16
467	8	32.12
468	3	11.25
469	35.3	77.1
470	16	44.75
471	2	7.5
472	7	19.75
473	25.55	37.07
474	10.13	21.56
475	6	22.25
476	1	5.85
477	3	2
478	26	78.58
479	5.05	6.58
480	8	46
481	15.5	23.45
482	1	12
483	1	1
484	3	6.81
485	5.7	34
486	56.4	118.6
487	10.5	9.9
488	1	8.98
489	6.5	17.25
490	1	1
491	3.75	5.5
492	4	3
493	1	6.5
494	6.5	27.95
495	5	17
496	9.5	27.5
497	9	20
498	46	206.7
499	12.8	19.8
500	25.02	44.24
501	5.58	15.46
502	9	21.3
503	3	6.5
504	10	38.43
505	1	5.5
506	0	4
507	9.21	19.13
508	3	2.8
509	17	73.2
510	5	12.38
511	2.5	9.38
512	3	5.3
513	0.98	3.13
514	11.5	26.25
515	3	7
516	3	7.25
517	37.11	82.22
518	245	1211
519	348	679
520	1	9.75
521	28.03	49.11
522	8	22
523	6.75	13.37
524	3	14
525	8.12	11.56
526	1	2.54
527	4.6	11
528	10.41	8.13
529	17	54
530	8.68	14.26
531	6.07	18.52
532	15	27.5
533	12.5	39.8
534	5	48.72
535	4.25	16.13
536	16	42.42
537	79.87	130.73
538	14.62	22.46
539	13	36.91
540	124.5	219.5
541	13	26.03
542	1.4	3
543	12.5	37
544	3.5	6.25
545	2.5	8.25
546	6	10.4
547	19.25	37
548	19	39
549	0.75	3.36
550	24	80.95
551	2.4	6.27
552	9.5	9.64
553	1.63	6.05
554	2	10.45
555	1	14.66
556	10	17.25
557	13.1	36.9
558	11	32
559	8	51.9
560	12.5	29.1
561	87.5	174.5
562	16.5	28.5
563	2.85	2.13
564	3	5.5
565	29	148
566	4	7
567	5	7.5
568	85	201
569	111.91	301.02
570	212.63	495.82
571	87.6	229.99
572	0	0.7
573	14	20
574	17.5	52
575	5.4	12.68
576	40.65	66.3
577	15	32.95
578	11.95	12.44
579	13	34.5
580	10.5	58
581	12.53	38.23
582	81.75	169.3
583	21.63	59.55
584	3	9.25
585	6	35.01
586	40.41	74.39
587	1.7	6.9
588	3.5	5
589	5	21
590	5.2	4.5
591	1	3
592	35	73.5
593	55.13	83.19
594	7.4	11.7
595	10.46	23.99
596	16	89
597	4	7.78
598	21	47.65
599	20.12	29.92
600	1	13
601	3	3
602	19.5	46
603	0.8	1.52
604	10	28.4
605	4	11.5
606	2	10.25
607	3	14.25
608	13	51.39
609	12.5	28
610	12.5	26.4
611	0.5	3.78
612	4.12	7.59
613	14.85	21.1
614	8.75	22.24
615	1	7
616	9	14.75
617	1	6
618	0.06	0.06
619	5.88	13.45
620	5.8	9.9
621	5	16.5
622	1	3
623	2	8
624	6.5	6.75
625	17.13	51.88
626	1	3
627	3	10.73
628	13	46
629	0.75	1.85
630	10	17
631	9.25	6.5
632	14.93	18.7
633	50	178
634	4	19
635	3.3	7.5
636	5.5	12.5
637	12.75	16
638	1	8.1
639	3	4.5
640	5.28	22.7
641	17.5	44
642	4.5	9.5
643	35	77.5
644	1	0
645	2.63	4.45
646	39	194.68
647	4	3.1
648	12	49.6
649	1	1
650	2	11.75
651	2	7.25
652	2	4
653	30.75	46.13
654	10.6	18.24
655	1	7
656	1	3.5
657	2	0.5
658	3	9
659	1	2
660	1	7.5
661	0.8	0.8
662	5	8
663	3.2	0
664	0.6	0.1
